kappa,theta,sigma,feller_value,feller_satisfied,log_likelihood,date,start_date,end_date
0.0001,0.06263943449778085,0.020751101298291684,-0.00041808031819240665,False,2022.5926386896072,2016-11-21,2016-05-19,2017-05-23
9.86449971046303,0.005086201034882217,0.021166855930629745,0.09989762148191675,True,2020.7927278864886,2016-12-20,2016-06-20,2017-06-21
0.006878255971243511,0.5,0.02591647620012803,0.006206592232611708,True,1962.6545120782996,2017-01-23,2016-07-20,2017-07-21
0.006736615594623322,0.5,0.025213393308145246,0.006100900392512099,True,1965.6787194841202,2017-02-22,2016-08-19,2017-08-22
0.010932848610255428,0.5,0.030351905937354637,0.010011610416225404,True,1913.4355527955822,2017-03-23,2016-09-20,2017-09-21
0.011176598481034658,0.5,0.030250532095300355,0.010261503788985861,True,1907.4749003430056,2017-04-24,2016-10-20,2017-10-23
0.011312026897336428,0.5,0.029647822655268642,0.010433033509138169,True,1905.9613973683101,2017-05-24,2016-11-21,2017-11-22
0.014952662262231624,0.5,0.03041702360559459,0.014027466937208325,True,1893.1117996057433,2017-06-22,2016-12-20,2017-12-21
0.02071963707030599,0.5,0.030656980931378492,0.019779786590479086,True,1881.8047451130878,2017-07-24,2017-01-23,2018-01-24
0.020086557795201392,0.5,0.030585897736279316,0.019151060654867255,True,1872.4162225449397,2017-08-23,2017-02-22,2018-02-23
0.8403329990321947,0.01871020127876614,0.030836725962198715,0.03049469543809537,True,1861.9235693959267,2017-09-22,2017-03-23,2018-03-26
0.8627574786740552,0.020161368337207185,0.030986180531882783,0.033828599242501166,True,1852.765229638055,2017-10-24,2017-04-24,2018-04-25
2.196934972575935,0.014581650175529978,0.03073216644465958,0.06312540840259741,True,1846.163541020358,2017-11-23,2017-05-24,2018-05-25
2.805286023282976,0.013124886800166415,0.028327893607937506,0.0728356534390935,True,1857.832799675795,2017-12-22,2017-06-22,2018-06-25
1.3575698359473711,0.01860776659941728,0.030254327150915503,0.049607360988081155,True,1834.0703292453443,2018-01-25,2017-07-24,2018-07-25
2.239613722103873,0.016475618047707044,0.02963936775092977,0.07291954839889898,True,1832.2489083876214,2018-02-26,2017-08-23,2018-08-24
